---------- file name: D:/4kurs/1semestr/metaProgramming/Labs/Lab1/resources/input-code.js ---- analysis time: 10/17/2020, 22:32:14 ----------
Wrong value after literal(line: 132, index: 725)
Wrong '}' position(line: 28, index: 165)
Wrong '}' position(line: 31, index: 182)
Wrong ')' position(line: 50, index: 244)
Wrong '}' position(line: 57, index: 294)
Wrong '}' position(line: 58, index: 296)
Wrong '}' position(line: 63, index: 317)
Wrong '}' position(line: 64, index: 319)
Wrong '}' position(line: 69, index: 340)
Wrong '}' position(line: 70, index: 342)
Wrong '}' position(line: 76, index: 394)
Wrong ')' position(line: 82, index: 445)
Wrong '}' position(line: 83, index: 448)
Wrong ')' position(line: 89, index: 509)
Wrong '}' position(line: 96, index: 536)
Wrong '}' position(line: 98, index: 550)
Wrong '}' position(line: 99, index: 552)
Wrong ')' position(line: 102, index: 570)
Wrong '}' position(line: 105, index: 597)
Wrong '}' position(line: 108, index: 614)
Wrong '}' position(line: 111, index: 623)
Wrong ')' position(line: 111, index: 629)
Wrong '}' position(line: 112, index: 631)
Wrong ')' position(line: 112, index: 635)
Wrong '}' position(line: 114, index: 648)
Wrong '}' position(line: 116, index: 660)
Wrong '}' position(line: 117, index: 662)
Wrong '}' position(line: 118, index: 664)
Wrong '}' position(line: 28, index: 165)
Wrong '}' position(line: 31, index: 182)
Wrong ')' position(line: 50, index: 244)
Wrong '}' position(line: 57, index: 294)
Wrong '}' position(line: 58, index: 296)
Wrong '}' position(line: 63, index: 317)
Wrong '}' position(line: 64, index: 319)
Wrong '}' position(line: 69, index: 340)
Wrong '}' position(line: 70, index: 342)
Wrong '}' position(line: 76, index: 394)
Wrong ')' position(line: 82, index: 445)
Wrong '}' position(line: 83, index: 448)
Wrong ')' position(line: 89, index: 509)
Wrong '}' position(line: 96, index: 536)
Wrong '}' position(line: 98, index: 550)
Wrong '}' position(line: 99, index: 552)
Wrong ')' position(line: 102, index: 570)
Wrong '}' position(line: 105, index: 597)
Wrong '}' position(line: 108, index: 614)
Wrong '}' position(line: 111, index: 623)
Wrong ')' position(line: 111, index: 629)
Wrong '}' position(line: 112, index: 631)
Wrong ')' position(line: 112, index: 635)
Wrong '}' position(line: 114, index: 648)
Wrong '}' position(line: 116, index: 660)
Wrong '}' position(line: 117, index: 662)
Wrong '}' position(line: 118, index: 664)
Wrong '}' position(line: 28, index: 165)
Wrong '}' position(line: 31, index: 182)
Wrong ')' position(line: 50, index: 244)
Wrong '}' position(line: 57, index: 294)
Wrong '}' position(line: 58, index: 296)
Wrong '}' position(line: 63, index: 317)
Wrong '}' position(line: 64, index: 319)
Wrong '}' position(line: 69, index: 340)
Wrong '}' position(line: 70, index: 342)
Wrong '}' position(line: 76, index: 394)
Wrong ')' position(line: 82, index: 445)
Wrong '}' position(line: 83, index: 448)
Wrong ')' position(line: 89, index: 509)
Wrong '}' position(line: 96, index: 536)
Wrong '}' position(line: 98, index: 550)
Wrong '}' position(line: 99, index: 552)
Wrong ')' position(line: 102, index: 570)
Wrong '}' position(line: 105, index: 597)
Wrong '}' position(line: 108, index: 614)
Wrong '}' position(line: 111, index: 623)
Wrong ')' position(line: 111, index: 629)
Wrong '}' position(line: 112, index: 631)
Wrong ')' position(line: 112, index: 635)
Wrong '}' position(line: 114, index: 648)
Wrong '}' position(line: 116, index: 660)
Wrong '}' position(line: 117, index: 662)
Wrong '}' position(line: 118, index: 664)
Wrong '}' position(line: 28, index: 165)
Wrong '}' position(line: 31, index: 182)
Wrong ')' position(line: 50, index: 244)
Wrong '}' position(line: 57, index: 294)
Wrong '}' position(line: 58, index: 296)
Wrong '}' position(line: 63, index: 317)
Wrong '}' position(line: 64, index: 319)
Wrong '}' position(line: 69, index: 340)
Wrong '}' position(line: 70, index: 342)
Wrong '}' position(line: 76, index: 394)
Wrong ')' position(line: 82, index: 445)
Wrong '}' position(line: 83, index: 448)
Wrong ')' position(line: 89, index: 509)
Wrong '}' position(line: 96, index: 536)
Wrong '}' position(line: 98, index: 550)
Wrong '}' position(line: 99, index: 552)
Wrong ')' position(line: 102, index: 570)
Wrong '}' position(line: 105, index: 597)
Wrong '}' position(line: 108, index: 614)
Wrong '}' position(line: 111, index: 623)
Wrong ')' position(line: 111, index: 629)
Wrong '}' position(line: 112, index: 631)
Wrong ')' position(line: 112, index: 635)
Wrong '}' position(line: 114, index: 648)
Wrong '}' position(line: 116, index: 660)
Wrong '}' position(line: 117, index: 662)
Wrong '}' position(line: 118, index: 664)
Wrong '}' position(line: 36, index: 198)
Wrong '}' position(line: 39, index: 215)
Wrong ')' position(line: 58, index: 277)
Wrong '}' position(line: 65, index: 327)
Wrong '}' position(line: 66, index: 329)
Wrong '}' position(line: 71, index: 350)
Wrong '}' position(line: 72, index: 352)
Wrong '}' position(line: 77, index: 373)
Wrong '}' position(line: 78, index: 375)
Wrong '}' position(line: 84, index: 427)
Wrong ')' position(line: 90, index: 478)
Wrong '}' position(line: 91, index: 481)
Wrong ')' position(line: 97, index: 542)
Wrong '}' position(line: 104, index: 569)
Wrong '}' position(line: 106, index: 583)
Wrong '}' position(line: 107, index: 585)
Wrong ')' position(line: 110, index: 603)
Wrong '}' position(line: 113, index: 630)
Wrong '}' position(line: 116, index: 647)
Wrong '}' position(line: 119, index: 656)
Wrong ')' position(line: 119, index: 662)
Wrong '}' position(line: 120, index: 664)
Wrong ')' position(line: 120, index: 668)
Wrong '}' position(line: 122, index: 681)
Wrong '}' position(line: 124, index: 693)
Wrong '}' position(line: 125, index: 695)
Wrong '}' position(line: 126, index: 697)
Wrong '}' position(line: 40, index: 202)
Wrong '}' position(line: 43, index: 219)
Wrong ')' position(line: 62, index: 281)
Wrong '}' position(line: 69, index: 331)
Wrong '}' position(line: 70, index: 333)
Wrong '}' position(line: 75, index: 354)
Wrong '}' position(line: 76, index: 356)
Wrong '}' position(line: 81, index: 377)
Wrong '}' position(line: 82, index: 379)
Wrong '}' position(line: 88, index: 431)
Wrong ')' position(line: 94, index: 482)
Wrong '}' position(line: 95, index: 485)
Wrong ')' position(line: 101, index: 546)
Wrong '}' position(line: 108, index: 573)
Wrong '}' position(line: 110, index: 587)
Wrong '}' position(line: 111, index: 589)
Wrong ')' position(line: 114, index: 607)
Wrong '}' position(line: 117, index: 634)
Wrong '}' position(line: 120, index: 651)
Wrong '}' position(line: 123, index: 660)
Wrong ')' position(line: 123, index: 666)
Wrong '}' position(line: 124, index: 668)
Wrong ')' position(line: 124, index: 672)
Wrong '}' position(line: 126, index: 685)
Wrong '}' position(line: 128, index: 697)
Wrong '}' position(line: 129, index: 699)
Wrong '}' position(line: 130, index: 701)
